ID_CODE,NAME,SURNAME,DISPLAY_NAME,SORT_NAME,BIRTH_FLAG,BIRTH_PLACE,BIRTH_YEAR,DEATH_FLAG,DEATH_PLACE,DEATH_YEAR,STUDENT_OF
f_lang,François,Lang,,"Lang, François",fr,Paris,1908,pl,Auschwitz,1944,"j_iturbi,l_levy,p_paray,m_dupre"
w_landowska,Wanda,Landowska,,"Landowska, Wanda",pl,Warszawa,1879,us,Lakeville,1959,
a_wiele,Aimée,Van de Wiele,,"Wiele, Aimée Van de",be,Bruxelles,1907,be,Uccle,1991,w_landowska
m_palau,Manuel,Palau i Boix,,"Palau, Manuel",es,Alfara del Patriarca,1893,es,València,1967,"m_ravel,c_koechlin"
g_auric,Georges,Auric,,"Auric, Georges",fr,Lodeva,1899,fr,Paris,1983,g_caussade
m_ravel,Maurice,Ravel,,"Ravel, Maurice",fr,Ziburu,1875,fr,Paris,1937,"g_faure,cw_beriot,a_gedalge,e_pessard,s_riera,e_anthiome,cor_bibard,h_ghys"
c_koechlin,Charles,Koechlin,,"Koechlin, Charles",fr,Paris,1867,fr,Lo Raiòu Canadèu,1950,"g_faure,a_taudou,j_massenet,a_gedalge"
r_olmos,Ricardo,Olmos Canet,,"Olmos, Ricardo",es,Massamagrell,1905,es,Madrid,1986,"m_palau,c_koechlin"
jc_arriaga,Juan Crisóstomo,de Arriaga y Bazola,,"Arriaga, Juan Crisóstomo de",es,Bilbo,1806,fr,Paris,1826,"p_baillot,fj_fetis,l_cherubini"
j_llongueras,Joan,Llongueras i Badia,,"Llongueras, Joan",es,Barcelona,1880,es,Barcelona,1953,"d_mas,e_granados,l_millet,e_morera"
f_rafols,Fèlix,Ràfols Ràfols,,"Ràfols, Fèlix",es,Barcelona,1893,cu,Camagüey,1961,"d_mas,e_granados,r_goberna"
jm_thomas,Joan Maria,Thomàs i Sabater,,"Thomàs, Joan Maria",es,Palma,1896,es,Palma,1966,"d_mas,a_noguera,e_daniel,j_hure"
j_sancho,Josep,Sancho i Marraco,,"Sancho, Josep",es,La Garriga,1879,es,La Garriga,1960,"d_mas,j_vinas,j_marraco"
r_llates,Rossend,Llates i Serrat,,"Llates, Rossend",es,Barcelona,1899,es,Barcelona,1973,"d_mas,m_viscasillas"
j_banet,Jaume,Banet i Illa,,"Banet, Jaume",es,Mataró,1929,es,Mataró,2007,"d_mas,c_taltabull,h_vilamanya,e_ribo,a_perez_moya"
j_borras,Joan,Borràs i de Palau,,"Borràs, Joan",es,Barcelona,1868,es,Barcelona,1953,"d_mas,p_tintorer,f_brunet"
f_madriguera,Francesca,Madriguerea i Rodon,Paquita Madriguera,"Madriguera, Paquita",es,Igualada,1900,uy,Montevideo,1965,"d_mas,e_granados,i_philipp"
e_madriguera,Enric,Madriguerea i Rodon,,"Madriguera, Enric",es,Barcelona,1902,us,Danbury,1973,"j_manen,l_auer,j_heifetz,m_elman,e_zimbalist"
m_auge,Miquel,Augé i Vila,,"Augé, Miquel",es,Manresa,1885,es,Barcelona,1936,"d_mas,f_baldello"
jm_vidal,Josep Maria,Vidal i Torrens,,"Vidal, Josep Maria",es,Barcelona,1924,es,Barcelona,2015,"d_mas,a_larrocha,f_marshall"
m_castelnuovo,Mario,Castelnuovo-Tedesco,,"Castelnuovo-Tedesco, Mario",it,Firenze,1895,us,Beverly Hills,1968,"e_valle_paz,i_pizzetti"
m_barrientos,Maria,Barrientos i Llopis,,"Barrientos, Maria",es,Barcelona,1884,fr,Ziburu,1946,jb_pellicer
a_grau,Agustí,Grau i Huguet,,"Grau, Agustí",es,Alforja,1893,es,Alforja,1964,e_morera
j_gibert,Joan,Gibert Camins,,"Gibert, Joan",es,Barcelona,1890,es,Barcelona,1966,"l_millet,r_goberna,i_philipp,a_cortot,w_landowska,v_indy"
e_toldra,Eduard,Toldrà i Soler,,"Toldrà, Eduard",es,Vilanova i la Geltrú,1895,es,Barcelona,1962,"l_millet,a_nicolau,r_galvez"
m_blancafort,Manuel,Blancafort i de Rosselló,,"Blancafort, Manuel",es,La Garriga,1897,es,Barcelona,1987,jb_pujol
r_lamote,Ricard,Lamote de Grignon i Ribas,,"Lamote de Grignon, Ricard",es,Barcelona,1899,es,Barcelona,1962,b_galvez
f_mompou,Frederic,Mompou i Dencausse,,"Mompou, Frederic",es,Barcelona,1893,es,Barcelona,1987,"p_serra,m_serra,l_diemer,e_pessard,f_motte-lacroix"
j_pahissa,Jaume,Pahissa i Jo,,"Pahissa, Jaume",es,Barcelona,1880,ar,Buenos Aires,1969,e_morera
a_cortot,Alfred,Cortot,,"Cortot, Alfred",ch,Nyon,1877,ch,Lausanne,1962,"l_diemer,e_decombes"
e_fernandez_arbos,Enrique,Fernández Arbós,,"Fernández Arbós, Enrique",es,Madrid,1863,es,Donostia,1939,"j_monasterio,h_vieuxtemps,fa_gevaert,j_joachim"
d_severac,Deodat,de Severac,,"Severac, Deodat de",fr,Sant Felitz de Lauragués,1872,fr,Ceret,1921,"i_albeniz,v_indy,a_magnard,a_guilmant"
r_castera,René,de Castéra,,"Castéra, René de",fr,Dacs,1873,fr,En Gomèr,1955,"i_albeniz,v_indy,c_bordes,a_guilmant"
c_sansoni,Clara,Sansoni,,"Sansoni, Clara",it,Pistoia,1893,it,Firenze,1977,"i_albeniz,f_plante"
g_tarrago,Gracià,Tarragó i Pons,,"Tarragó, Gracià",es,Salamanca,1892,es,Barcelona,1973,"f_pedrell,b_perez_casas,m_llobet,a_fernandez_bordas"
v_echevarria,Victorino,Echevarría López,,"Echevarría, Victorino",es,Becerril de Campos,1898,es,Madrid,1963,"b_perez_casas,c_campo,p_hindemith"
x_montsalvatge,Xavier,Montsalvatge i Bassols,,"Montsalvatge, Xavier",es,Girona,1912,es,Barcelona,2002,"l_millet,e_morera,j_pahissa,e_toldra"
m_canals,Maria,Canals i Cendrós,,"Canals, Maria",es,Barcelona,1914,es,Barcelona,2010,"l_millet,r_vines"
a_vives,Amadeu,Vives i Roig,,"Vives, Amadeu",es,Collbató,1871,es,Madrid,1932,"c_vives,j_ribera"
e_garreta,Enriqueta,Garreta i Toldrà,,"Garreta, Enriqueta",es,Barcelona,1907,es,Barcelona,1971,"l_millet,r_vines,jb_pellicer"
p_casals,Pau,Casals i Defilló,,"Casals, Pau",es,El Vendrell,1876,pr,San Juan,1973,v_mirecki
j_alvin,Juliette,Alvin,,"Alvin, Juliette",fr,Limòtges,1982,gb,London,1982,p_casals
g_cassado,Gaspar,Cassadó i Moreu,,"Cassadó, Gaspar",es,Barcelona,1897,es,Madrid,1966,"p_casals,j_cassado,m_ravel"
j_cassado,Joaquim,Cassadó i Valls,,"Cassadó, Joaquim",es,Mataró,1867,es,Barcelona,1926,"m_blanch,s_puigsech,j_vilaseca"
b_greenhouse,Bernard,Greenhouse,,"Greenhouse, Bernard",us,Newark,1916,us,Wellfleet,2011,"p_casals,f_salmond,e_feuermann,d_alexanian"
j_du_pre,Jacqueline,du Pré,,"Pré, Jaqueline du",gb,Oxford,1945,gb,London,1987,"p_casals,p_tortelier,m_rostropovich,w_pleeth"
a_schneider,Abram,Sznejder,Alexander Schneider,"Schneider, Alexander",lt,Vilnius,1908,us,New York,1993,"p_casals,a_rebner"
c_badia,Concepció,Badia i Millàs,Conxita Badia,"Badia, Conxita",es,Barcelon,1897,es,Barcelona,1975,"p_casals,e_granados,m_falla,a_colome"
e_papastavrou,Eleftherios,Papastavrou,,"Papastavrou, Eleftherios",gr,Thessaloníki,1920,gr,Athína,2008,p_casals
a_colome,Antoni,Colomé i Bosomba,,"Colomé, Antoni",es,El Masnou,1870,es,,1952,
m_plantada,Mercè,Plantada i Vicente,,"Plantada, Mercè",es,Sant Gervasi de Cassoles,1892,es,Vilafranca del Penedès,1976,a_colome
p_rufi,Pilar,Rufí i Bosch,,"Rufí, Pilar",es,Barcelona,1892,es,Barcelona,1969,"a_colome,j_barbera"
f_casanovas,Francesc,Casanovas i Tallardá,,"Casanovas, Francesc",es,Barcelona,1899,es,Murcia,1986,"j_lamote,e_morera"
jg_escoriaza,José Gregorio,Escoriaza Leceta,,"Escoriaza, José Gregorio",es,Vitoria-Gasteiz,1884,es,Vitoria-Gasteiz,1943,"j_lamote,js_aramburu"
js_aramburu,Juan Santiago,Aramburu Salinas,,"Aramburu, Juan Santiago",es,Agurain,1860,es,Vitoria-Gasteiz,1937,
l_aramburu,Luis,Aramburu Martínez de San Vicente,,"Aramburu, Luis",es,Vitoria-Gasteiz,1905,es,Vitoria-Gasteiz,1999,js_aramburu
a_cabane,Adolf,Cabané i Pibernat,,"Cabané, Adolf",es,Sabadell,1911,es,Barcelona,1993,"j_lamote,b_socias,j_zamacois,j_muset"
f_ardevol,Francesc,Ardèvol i Blanch,,"Ardèvol, Francesc",es,Reus,1918,es,Icod de los Vinos,2000,"j_lamote,cg_vidiella,a_nicolau"
l_benejam,Lluís,Benejam i Agell,,"Benejam, Lluís",es,Barcelona,1914,us,Birmingham,1968,"j_lamote,a_bosom,j_barbera,a_massana,f_guerin"
me_botet,María Enma,Botet Dubois,,"Botet, María Enma",cu,Matanzas,1903,us,Miami,1989,"jj_nin,h_blanck"
j_sandaran,Juli,Sandaran i Sambeat,,"Sandaran, Juli",es,Barcelona,1914,es,Barcelona,1995,"a_massana,c_taltabull,p_vallribera"
s_giribet,Simó,Giribet i Puig,,"Giribet, Simó",es,Cervera,1914,es,Barcelona,1983,a_massana
a_garcia_abril,Antón,García Abril,,"García Abril, Antón",es,Teruel,1933,es,Madrid,2021,j_gomez_garcia
c_bernaola,Carmelo Alonso,Bernaola,,"Bernaola, Carmelo",es,Otxandio,1929,es,Madrid,2002,"j_gomez_garcia,e_maso,f_cales"
